departamento,year,variable,cantidad
Managua,2015,Hurtos,91
Managua,2015,Delitos sexuales,51
Managua,2015,Lesiones,111
Managua,2016,Denuncias,2566
Managua,2016,Homicidios,5
Managua,2016,Robos,340
Managua,2016,Hurtos,81
Managua,2016,Delitos sexuales,49
Managua,2016,Lesiones,86
Managua,2017,Denuncias,1921
Managua,2017,Homicidios,4
Managua,2017,Robos,264
Managua,2017,Hurtos,66
Managua,2017,Delitos sexuales,38
Managua,2017,Lesiones,63
Managua,2018,Denuncias,1623
Managua,2018,Homicidios,12
Managua,2018,Robos,244
Managua,2018,Hurtos,51
Managua,2018,Delitos sexuales,21
Managua,2018,Lesiones,50
Managua,2019,Denuncias,2799
Managua,2019,Homicidios,6
Managua,2019,Robos,401
Managua,2019,Hurtos,103
Managua,2019,Delitos sexuales,37
Managua,2019,Lesiones,67
Masaya,2007,Denuncias,2083
Masaya,2007,Homicidios,5
Masaya,2007,Robos,288
Masaya,2007,Hurtos,250
Masaya,2007,Delitos sexuales,77
Masaya,2007,Lesiones,357
Masaya,2008,Denuncias,1771
Masaya,2008,Homicidios,7
Masaya,2008,Robos,225
Masaya,2008,Hurtos,149
Masaya,2008,Delitos sexuales,68
Masaya,2008,Lesiones,279
Masaya,2009,Denuncias,1720
Masaya,2009,Homicidios,3
Masaya,2009,Robos,191
Masaya,2009,Hurtos,67
Masaya,2009,Delitos sexuales,56
Masaya,2009,Lesiones,192
Masaya,2010,Denuncias,1967
Masaya,2010,Homicidios,6
Masaya,2010,Robos,293
Masaya,2010,Hurtos,97
Masaya,2010,Delitos sexuales,53
Masaya,2010,Lesiones,189
Masaya,2011,Denuncias,1495
Masaya,2011,Homicidios,5
Masaya,2011,Robos,223
Masaya,2011,Hurtos,54
Masaya,2011,Delitos sexuales,50
Masaya,2011,Lesiones,175
Masaya,2012,Denuncias,1106
Masaya,2012,Homicidios,3
Masaya,2012,Robos,153
Masaya,2012,Hurtos,42
Masaya,2012,Delitos sexuales,43
Masaya,2012,Lesiones,123
Masaya,2013,Denuncias,1101
Masaya,2013,Homicidios,2
Masaya,2013,Robos,145
Masaya,2013,Hurtos,30
Masaya,2013,Delitos sexuales,41
Masaya,2013,Lesiones,139
Masaya,2014,Denuncias,1221
Masaya,2014,Homicidios,3
Masaya,2014,Robos,141
Masaya,2014,Hurtos,61
Masaya,2014,Delitos sexuales,46
Masaya,2014,Lesiones,136
Masaya,2015,Denuncias,1301
Masaya,2015,Homicidios,3
Masaya,2015,Robos,122
Masaya,2015,Hurtos,30
Masaya,2015,Delitos sexuales,37
Masaya,2015,Lesiones,74
Masaya,2016,Denuncias,1662
Masaya,2016,Homicidios,2
Masaya,2016,Robos,105
Masaya,2016,Hurtos,26
Masaya,2016,Delitos sexuales,37
Masaya,2016,Lesiones,68
Masaya,2017,Denuncias,1435
Masaya,2017,Homicidios,3
Masaya,2017,Robos,88
Masaya,2017,Hurtos,25
Masaya,2017,Delitos sexuales,34
Masaya,2017,Lesiones,59
Masaya,2018,Denuncias,1068
Masaya,2018,Homicidios,9
Masaya,2018,Robos,61
Masaya,2018,Hurtos,17
Masaya,2018,Delitos sexuales,25
Masaya,2018,Lesiones,22
Masaya,2019,Denuncias,1503
Masaya,2019,Homicidios,3
Masaya,2019,Robos,112
Masaya,2019,Hurtos,26
Masaya,2019,Delitos sexuales,33
Masaya,2019,Lesiones,30
Matagalpa,2007,Denuncias,2101
Matagalpa,2007,Homicidios,14
Matagalpa,2007,Robos,284
Matagalpa,2007,Hurtos,241
Matagalpa,2007,Delitos sexuales,83
Matagalpa,2007,Lesiones,294
Matagalpa,2008,Denuncias,2220
Matagalpa,2008,Homicidios,16
Matagalpa,2008,Robos,320
